Year,Genus,Epithet,Taxon,Native,Non-native,Invasive
2016,Frangula,alnus,frangula alnus,n,y,y
2016,Ilex,opaca,ilex opaca,y,n,n
2016,Photinia,villosa,photinia villosa,n,y,y
2016,Rubus,pensilvanicus,rubus pensilvanicus,y,n,n
2016,Toxicodendron,radicans,toxicodendron radicans,y,n,n
2016,Monotropa,uniflora,monotropa uniflora,y,n,n
2016,Quercus,rubra,quercus rubra,y,n,n
2016,Sceptridium,dissectum,sceptridium dissectum,y,n,n
2016,Oxalis,stricta,oxalis stricta,y,n,n
2016,Verbesina,alternifolia,verbesina alternifolia,y,n,n
2016,Trifolium,repens,trifolium repens,n,y,n
