Year,Genus ,Specific epithet,Taxon,Sum of Cover (cm),Native,Non-native,Invasive
2011,Smilax,rotundifolia,smilax rotundifolia,79,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,6,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,19,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,48,y,n,n
2011,Aralia ,elata,aralia elata,38,n,y,y
2011,Lindera,benzoin,lindera benzoin,15,y,n,n
2011,Polygonum ,virginianum,polygonum virginianum,6,y,n,n
2011,Rubus,sp.,rubus sp.,8,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia,smilax rotundifolia,245,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,95,y,n,n
2011,Viburnum,dentatum,viburnum dentatum,27,y,n,n
2011,Lindera,benzoin,lindera benzoin,60,y,n,n
2011,Polygonum,virginianum,polygonum virginianum,38,y,n,n
2011,Rubus,sp.,rubus sp.,36,#N/A,#N/A,#N/A
2011,Lindera,benzoin,lindera benzoin,5,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,9,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,21,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia,smilax rotundifolia,465,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,10,y,n,n
2011,Aralia,elata,aralia elata,15,n,y,y
2011,Eurybia,divaricata,eurybia divaricata,10,y,n,n
2011,Lindera,benzoin,lindera benzoin,50,y,n,n
2011,Smilax,rotundifolia,smilax rotundifolia,180,y,n,n
2011,Lindera,benzoin,lindera benzoin,152,y,n,n
2011,Rubus,sp.,rubus sp.,6,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia,smilax rotundifolia,291,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,7,y,n,n
2011,Lindera,benzoin,lindera benzoin,71,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,3,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,1,#N/A,#N/A,#N/A
2011,Rubus,sp.,rubus sp.,9,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia,smilax rotundifolia,327,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,32,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,28,y,n,n
2011,Poaceae,spp.,poaceae spp.,9,n,n,n
2011,Hydrangea,paniculata,hydrangea paniculata,26,n,y,n
2011,Lindera,benzoin,lindera benzoin,130,y,n,n
2011,Liquidambar,styraciflua,liquidambar styraciflua,20,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,38,y,n,n
2011,Lindera ,benzoin,lindera benzoin,20,y,n,n
2011,Prunus,serotina,prunus serotina,65,y,n,n
2011,Quercus,rubra,quercus rubra,17,y,n,n
2011,Smilax,rotundifolia,smilax rotundifolia,290,y,n,n
2011,Lindera,benzoin,lindera benzoin,19,y,n,n
2011,Viburnum,dentatum,viburnum dentatum,244,y,n,n
2011,Ailanthus ,altissima,ailanthus altissima,3,n,y,y
2011,Lindera,benzoin,lindera benzoin,60,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,4,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,18,y,n,n
2011,Smilax,rotundifolia,smilax rotundifolia,276,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,104,y,n,n
2011,Lindera,benzoin,lindera benzoin,255,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,37,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,95,y,n,n
2011,Lindera,benzoin,lindera benzoin,115,y,n,n
2011,Rubus,sp.,rubus sp.,67,#N/A,#N/A,#N/A
2011,Maianthemum,racemosum,maianthemum racemosum,17,y,n,n
2011,Carya,sp.,carya sp.,35,#N/A,#N/A,#N/A
2011,Lindera,benzoin,lindera benzoin,83,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,5,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,88,y,n,n
2011,Smilax ,rotundifolia,smilax rotundifolia,8,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,13,y,n,n
2011,Lindera,benzoin,lindera benzoin,45,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,17,y,n,n
2011,Prunus,serotina,prunus serotina,13,y,n,n
2011,Viburnum,dentatum,viburnum dentatum,162,y,n,n
2011,Commelina ,communis,commelina communis,5,n,y,y
2011,Eurybia,divaricata,eurybia divaricata,6,y,n,n
2011,Fraxinus ,americana,fraxinus americana,83,y,n,n
2011,Lindera,benzoin,lindera benzoin,70,y,n,n
2011,Prunus,serotina,prunus serotina,20,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,21,#N/A,#N/A,#N/A
2011,Toxicodendron ,radicans,toxicodendron radicans,4,y,n,n
2011,Viburnum,acerifolium,viburnum acerifolium,190,y,n,n
2011,Lindera,benzoin,lindera benzoin,148,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,44,y,n,n
2011,Prunus,serotina,prunus serotina,4,y,n,n
2011,Quercus,velutina,quercus velutina,93,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,9,#N/A,#N/A,#N/A
2011,Eurybia,divaricata,eurybia divaricata,22,y,n,n
2011,Lindera,benzoin,lindera benzoin,50,y,n,n
2011,Acer,rubrum,acer rubrum,35,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,61,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,12,y,n,n
2011,Polygonum,virginianum,polygonum virginianum,16,y,n,n
2011,Prunus,serotina,prunus serotina,39,y,n,n
2011,Rubus,sp.,rubus sp.,46,#N/A,#N/A,#N/A
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,161,y,n,n
2011,Alliaria,petiolata,alliaria petiolata,2,n,y,y
2011,Eurybia,divaricata,eurybia divaricata,8,y,n,n
2011,Lindera,benzoin,lindera benzoin,13,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,43,y,n,n
2011,Aralia,racemosa,aralia racemosa,4,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,5,y,n,n
2011,Lindera,benzoin,lindera benzoin,70,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,45,y,n,n
2011,Fraxinus ,americana,fraxinus americana,10,y,n,n
2011,Lindera,benzoin,lindera benzoin,120,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,128,y,n,n
2011,Solanum,dulcamara,solanum dulcamara,16,n,y,y
2011,Ulmus,americana,ulmus americana,20,y,n,n
2011,Viburnum,dentatum,viburnum dentatum,203,y,n,n
2011,Lindera,benzoin,lindera benzoin,205,y,n,n
2011,Phellodendron,amurense,phellodendron amurense,46,n,y,y
2011,Aralia,elata,aralia elata,40,n,y,y
2011,Circea,lutetiana,circea lutetiana,27,#N/A,#N/A,#N/A
2011,Eurybia,divaricata,eurybia divaricata,17,y,n,n
2011,Fraxinus ,americana,fraxinus americana,6,y,n,n
2011,Poaceae,spp.,poaceae spp.,18,n,n,n
2011,Lindera,benzoin,lindera benzoin,30,y,n,n
2011,Polygonum,virginianum,polygonum virginianum,2,y,n,n
2011,Viburnum,dentatum,viburnum dentatum,20,y,n,n
2011,Aralia,elata,aralia elata,120,n,y,y
2011,Fraxinus ,americana,fraxinus americana,145,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,5,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,2,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,15,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,20,y,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,3,y,n,n
2011,Acer,rubrum,acer rubrum,90,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,27,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,1,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,52,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,40,y,n,n
2011,Viburnum,dentatum,viburnum dentatum,67,y,n,n
2011,Acer,rubrum,acer rubrum,195,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,35,y,n,n
2011,Lindera,benzoin,lindera benzoin,65,y,n,n
2011,Prunus,serotina,prunus serotina,91,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,3,#N/A,#N/A,#N/A
2011,Viburnum,dilatatum,viburnum dilatatum,90,n,y,y
2011,Acer,saccharum,acer saccharum,28,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,11,y,n,n
2011,Acer,saccharum,acer saccharum,27,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,16,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,6,y,n,n
2011,Acer,rubrum,acer rubrum,15,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,14,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,15,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,5,y,n,n
2011,Acer,rubrum,acer rubrum,140,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,11,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,15,y,n,n
2011,Prunus,serotina,prunus serotina,35,y,n,n
2011,Acer,rubrum,acer rubrum,105,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,10,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,48,y,n,n
2011,Acer,saccharum,acer saccharum,10,y,n,n
2011,Aralia,elata,aralia elata,130,n,y,y
2011,Eurybia,divaricata,eurybia divaricata,20,y,n,n
2011,Fraxinus ,americana,fraxinus americana,15,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,37,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,33,y,n,n
2011,Rubus,sp.,rubus sp.,8,#N/A,#N/A,#N/A
2011,Eurybia,divaricata,eurybia divaricata,420,y,n,n
2011,Fraxinus ,americana,fraxinus americana,15,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,145,y,n,n
2011,Quercus,rubra,quercus rubra,10,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,25,y,n,n
2011,Lindera,benzoin,lindera benzoin,30,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,5,y,n,n
2011,Acer,rubrum,acer rubrum,20,y,n,n
2011,Fagus ,grandifolia,fagus grandifolia,140,y,n,n
2011,Reynoutria,japonica,reynoutria japonica,21,n,y,y
2011,Maianthemum,canadense,maianthemum canadense,140,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,9,#N/A,#N/A,#N/A
2011,Acer,saccharum,acer saccharum,7,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,4,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,97,y,n,n
2011,Ulmus,americana,ulmus americana,5,y,n,n
2011,Acer,rubrum,acer rubrum,110,y,n,n
2011,Lindera,benzoin,lindera benzoin,180,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,13,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,15,#N/A,#N/A,#N/A
2011,Acer,platanoides,acer platanoides,3,n,y,y
2011,Eurybia,divaricata,eurybia divaricata,40,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,50,y,n,n
2011,Prunus,serotina,prunus serotina,5,y,n,n
2011,Prunus,sp.,prunus sp.,5,#N/A,#N/A,#N/A
2011,Fagus ,grandifolia,fagus grandifolia,8,y,n,n
2011,Reynoutria,japonica,reynoutria japonica,20,n,y,y
2011,Poaceae,spp.,poaceae spp.,2,n,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,67,#N/A,#N/A,#N/A
2011,Carya,sp.,carya sp.,7,#N/A,#N/A,#N/A
2011,Reynoutria,japonica,reynoutria japonica,7,n,y,y
2011,Phellodendron,amurense,phellodendron amurense,47,n,y,y
2011,Prunus,serotina,prunus serotina,35,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,85,#N/A,#N/A,#N/A
2011,Lindera,benzoin,lindera benzoin,30,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,135,y,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,30,y,n,n
2011,Prunus,serotina,prunus serotina,100,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,45,#N/A,#N/A,#N/A
2011,Acer,rubrum,acer rubrum,50,y,n,n
2011,Lindera,benzoin,lindera benzoin,45,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,78,y,n,n
2011,Parthenocissus,quinquefolia,parthenocissus quinquefolia,57,y,n,n
2011,Rubus,alleghaniensis,rubus alleghaniensis,140,#N/A,#N/A,#N/A
2011,Eurybia,divaricata,eurybia divaricata,3,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,15,y,n,n
2011,Eurybia,divaricata,eurybia divaricata,12,y,n,n
2011,Nyssa,sylvatica,nyssa sylvatica,60,y,n,n
2011,Rubus,sp.,rubus sp.,7,#N/A,#N/A,#N/A
2011,Fagus ,grandifolia,fagus grandifolia,135,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,130,y,n,n
2011,Fagus ,grandifolia,fagus grandifolia,87,y,n,n
2011,Hamamelis,virginiana,hamamelis virginiana,18,y,n,n
2011,Aralia,elata,aralia elata,23,n,y,y
2011,Prunus ,serotina,prunus serotina,7,y,n,n
2011,Prunus ,sp.,prunus sp.,2,#N/A,#N/A,#N/A
2011,Sassafras ,albidum,sassafras albidum,2,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,1,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,102,y,n,n
2011,Poaceae,spp.,poaceae spp.,2,n,n,n
2011,Hedera ,helix,hedera helix,2,n,y,y
2011,Prunus ,serotina,prunus serotina,1,y,n,n
2011,Sassafras ,albidum,sassafras albidum,45,y,n,n
2011,Aralia,elata,aralia elata,47,n,y,y
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,22,y,n,n
2011,Prunus ,serotina,prunus serotina,80,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,61,#N/A,#N/A,#N/A
2011,Sassafras ,albidum,sassafras albidum,90,y,n,n
2011,Alliaria,petiolata,alliaria petiolata,5,n,y,y
2011,Commelina ,communis ,commelina communis,4,n,y,y
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,4,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,13,y,n,n
2011,Viola ,sororia,viola sororia,3,y,n,n
2011,Prunus ,serotina,prunus serotina,7,y,n,n
2011,Prunus ,sp.,prunus sp.,8,#N/A,#N/A,#N/A
2011,Commelina ,communis ,commelina communis,60,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,105,y,n,n
2011,Kalopanax ,septemlobus,kalopanax septemlobus,10,n,y,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,15,y,n,n
2011,Prunus ,serotina,prunus serotina,10,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,10,#N/A,#N/A,#N/A
2011,Rubus ,sp.,rubus sp.,10,#N/A,#N/A,#N/A
2011,Prunus ,serotina,prunus serotina,85,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,48,#N/A,#N/A,#N/A
2011,Sassafras ,albidum,sassafras albidum,90,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,99,y,n,n
2011,Nyssa,sylvatica,nyssa sylvatica,1,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,3,y,n,n
2011,Aralia,elata,aralia elata,225,n,y,y
2011,Commelina ,communis ,commelina communis,170,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,75,y,n,n
2011,Hedera ,helix,hedera helix,7,n,y,y
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,70,y,n,n
2011,Aralia,elata,aralia elata,120,n,y,y
2011,Commelina ,communis ,commelina communis,60,n,y,y
2011,Cornus ,florida,cornus florida,45,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,100,y,n,n
2011,Nyssa,sylvatica,nyssa sylvatica,25,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,20,y,n,n
2011,Phytolacca,americana,phytolacca americana,25,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,2,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,103,y,n,n
2011,Prunus ,serotina,prunus serotina,27,y,n,n
2011,Rubus ,sp.,rubus sp.,75,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia ,smilax rotundifolia,4,y,n,n
2011,Alliaria,petiolata ,alliaria petiolata,10,n,y,y
2011,Aralia,elata,aralia elata,60,n,y,y
2011,Circea,lutetiana,circea lutetiana,157,#N/A,#N/A,#N/A
2011,Commelina ,communis ,commelina communis,4,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,29,y,n,n
2011,Nyssa,sylvatica,nyssa sylvatica,98,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,10,y,n,n
2011,Alliaria,petiolata ,alliaria petiolata,1,n,y,y
2011,Carya ,sp.,carya sp.,35,#N/A,#N/A,#N/A
2011,Commelina ,communis ,commelina communis,32,n,y,y
2011,Nyssa,sylvatica,nyssa sylvatica,55,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,345,y,n,n
2011,Rubus ,sp.,rubus sp.,4,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia ,smilax rotundifolia,10,y,n,n
2011,Commelina ,communis ,commelina communis,8,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,80,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,27,y,n,n
2011,Quercus,alba,quercus alba,45,y,n,n
2011,Rubus ,sp.,rubus sp.,24,#N/A,#N/A,#N/A
2011,Commelina ,communis ,commelina communis,43,n,y,y
2011,Poaceae,spp.,poaceae spp.,410,n,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,5,y,n,n
2011,Rubus ,sp.,rubus sp.,13,#N/A,#N/A,#N/A
2011,Commelina ,communis ,commelina communis,13,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,17,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,24,y,n,n
2011,Prunus ,serotina,prunus serotina,40,y,n,n
2011,Rubus ,sp.,rubus sp.,49,#N/A,#N/A,#N/A
2011,Solidago,sp.,solidago sp.,8,#N/A,#N/A,#N/A
2011,Carya ,sp.,carya sp.,80,#N/A,#N/A,#N/A
2011,Commelina ,communis ,commelina communis,220,n,y,y
2011,Poaceae,spp.,poaceae spp.,400,n,n,n
2011,Ostrya ,virginiana,ostrya virginiana,40,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,5,y,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,10,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,10,#N/A,#N/A,#N/A
2011,Rubus ,sp.,rubus sp.,12,#N/A,#N/A,#N/A
2011,Rubus ,sp.,rubus sp.,5,#N/A,#N/A,#N/A
2011,Aralia,elata,aralia elata,55,n,y,y
2011,Commelina ,communis ,commelina communis,245,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,15,y,n,n
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,455,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,6,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,80,y,n,n
2011,Commelina ,communis ,commelina communis,45,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,25,y,n,n
2011,Phytolacca,americana,phytolacca americana,16,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,35,y,n,n
2011,Commelina ,communis ,commelina communis,45,n,y,y
2011,Poaceae,spp.,poaceae spp.,31,n,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,18,y,n,n
2011,Rubus ,sp.,rubus sp.,2,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia ,smilax rotundifolia,102,y,n,n
2011,Commelina ,communis ,commelina communis,22,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,16,y,n,n
2011,Viburnum ,prunifolium,viburnum prunifolium,243,y,n,n
2011,Commelina ,communis ,commelina communis,210,n,y,y
2011,Poaceae,spp.,poaceae spp.,170,n,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,25,y,n,n
2011,Aralia,elata,aralia elata,87,n,y,y
2011,Commelina ,communis ,commelina communis,2,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,62,y,n,n
2011,Poaceae,spp.,poaceae spp.,102,n,n,n
2011,Prunus ,serotina,prunus serotina,8,y,n,n
2011,Rubus ,sp.,rubus sp.,80,#N/A,#N/A,#N/A
2011,Commelina ,communis ,commelina communis,135,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,43,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,10,#N/A,#N/A,#N/A
2011,Rubus ,sp.,rubus sp.,7,#N/A,#N/A,#N/A
2011,Aralia,elata,aralia elata,75,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,42,y,n,n
2011,Poaceae,spp.,poaceae spp.,92,n,n,n
2011,Ilex,opaca,ilex opaca,10,y,n,n
2011,Prunus ,serotina,prunus serotina,13,y,n,n
2011,Rubus ,sp.,rubus sp.,2,#N/A,#N/A,#N/A
2011,Eurybia ,divaricata,eurybia divaricata,26,y,n,n
2011,Viburnum ,prunifolium,viburnum prunifolium,128,y,n,n
2011,Aralia,elata,aralia elata,140,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,18,y,n,n
2011,Poaceae,spp.,poaceae spp.,25,n,n,n
2011,Prunus ,serotina,prunus serotina,8,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,72,y,n,n
2011,Aralia,elata,aralia elata,185,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,110,y,n,n
2011,Poaceae,spp.,poaceae spp.,25,n,n,n
2011,Prunus ,serotina,prunus serotina,36,y,n,n
2011,Rubus ,sp.,rubus sp.,8,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia ,smilax rotundifolia,17,y,n,n
2011,Aralia,elata,aralia elata,10,n,y,y
2011,Celastrus,orbiculatus,celastrus orbiculatus,10,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,190,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,15,y,n,n
2011,Aralia,elata,aralia elata,36,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,279,y,n,n
2011,Prunus ,serotina,prunus serotina,29,y,n,n
2011,Polygonum ,virginianum,polygonum virginianum,10,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,200,y,n,n
2011,Aralia,elata,aralia elata,205,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,125,y,n,n
2011,Prunus ,serotina,prunus serotina,2,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,131,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,88,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,2,y,n,n
2011,Solidago,sp.,solidago sp.,20,#N/A,#N/A,#N/A
2011,Aralia,elata,aralia elata,78,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,124,y,n,n
2011,Rubus ,sp.,rubus sp.,4,#N/A,#N/A,#N/A
2011,Ailanthus ,altissima ,ailanthus altissima,3,n,y,y
2011,Toxicodendron ,radicans,toxicodendron radicans,20,y,n,n
2011,Acer,rubrum ,acer rubrum,35,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,375,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,7,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,12,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,220,y,n,n
2011,Reynoutria,japonica,reynoutria japonica,60,n,y,y
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,32,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,295,y,n,n
2011,Ailanthus ,altissima ,ailanthus altissima,15,n,y,y
2011,Aralia,elata,aralia elata,10,n,y,y
2011,Crataegus ,mollis,crataegus mollis,80,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,8,y,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,50,y,n,n
2011,Rubus ,alleghaniensis,rubus alleghaniensis,15,#N/A,#N/A,#N/A
2011,Rubus ,sp.,rubus sp.,43,#N/A,#N/A,#N/A
2011,Toxicodendron ,radicans,toxicodendron radicans,500,y,n,n
2011,Aralia,elata,aralia elata,55,n,y,y
2011,Reynoutria,japonica,reynoutria japonica,105,n,y,y
2011,Rubus ,sp.,rubus sp.,25,#N/A,#N/A,#N/A
2011,Smilax,rotundifolia ,smilax rotundifolia,75,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,221,y,n,n
2011,Ailanthus ,altissima ,ailanthus altissima,125,n,y,y
2011,Aralia,elata,aralia elata,35,n,y,y
2011,Poaceae,spp.,poaceae spp.,30,n,n,n
2011,Hedera ,helix,hedera helix,73,n,y,y
2011,Sassafras ,albidum,sassafras albidum,14,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,13,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,6,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,22,y,n,n
2011,Fraxinus,americana ,fraxinus americana,15,y,n,n
2011,Poaceae,spp.,poaceae spp.,10,n,n,n
2011,Lonicera,japonica,lonicera japonica,2,n,y,y
2011,Prunus ,serotina,prunus serotina,20,y,n,n
2011,Quercus,rubra,quercus rubra,5,y,n,n
2011,Fraxinus,americana ,fraxinus americana,52,y,n,n
2011,Poaceae,spp.,poaceae spp.,20,n,n,n
2011,Smilax,rotundifolia ,smilax rotundifolia,155,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,56,y,n,n
2011,Poaceae,spp.,poaceae spp.,20,n,n,n
2011,Lonicera,japonica,lonicera japonica,74,n,y,y
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,45,y,n,n
2011,Viburnum ,prunifolium,viburnum prunifolium,17,y,n,n
2011,Ailanthus ,altissima ,ailanthus altissima,45,n,y,y
2011,Alliaria,petiolata ,alliaria petiolata,2,n,y,y
2011,Commelina ,communis ,commelina communis,210,n,y,y
2011,Fraxinus,americana ,fraxinus americana,25,y,n,n
2011,Lonicera,japonica,lonicera japonica,37,n,y,y
2011,Parthenocissus ,quinquefolia ,parthenocissus quinquefolia,7,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,35,y,n,n
2011,Ailanthus ,altissima ,ailanthus altissima,8,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,34,y,n,n
2011,Lindera,benzoin,lindera benzoin,31,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,15,y,n,n
2011,Maianthemum,racemosum,maianthemum racemosum,14,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,58,y,n,n
2011,Poaceae,spp.,poaceae spp.,20,n,n,n
2011,Lindera,benzoin,lindera benzoin,8,y,n,n
2011,Lonicera,japonica,lonicera japonica,1,n,y,y
2011,Prunus ,serotina,prunus serotina,21,y,n,n
2011,Solidago,sp.,solidago sp.,25,#N/A,#N/A,#N/A
2011,Ailanthus ,altissima ,ailanthus altissima,2,n,y,y
2011,Fraxinus,americana ,fraxinus americana,92,y,n,n
2011,Lindera,benzoin,lindera benzoin,23,y,n,n
2011,Maianthemum,canadense,maianthemum canadense,7,y,n,n
2011,Phellodendron,amurense,phellodendron amurense,147,n,y,y
2011,Prunus ,serotina,prunus serotina,127,y,n,n
2011,Ailanthus ,altissima ,ailanthus altissima,10,n,y,y
2011,Fraxinus,americana ,fraxinus americana,10,y,n,n
